shp_name,df_name
STOCKHOLMS,Stockholms län
UPPSALA,Uppsala län
S<d6>DERMANLANDS,Södermanlands län
<d6>STERG<d6>TLANDS,Östergötlands län
J<d6>NK<d6>PINGS,Jönköpings län
KRONOBERGS,Kronobergs län
KALMAR,Kalmar län
GOTLANDS,Gotlands län
BLEKINGE,Blekinge län
KRISTIANSTADS,Kristianstads län
MALM<d6>HUS,Malmöhus län
HALLANDS,Hallands län
G<d6>TEBORGS-OCH BOHUS,Göteborg och Bohus län
<c4>LVSBORGS,Älvsborgs län
SKARABORGS,Skaraborgs län
V<c4>RMLANDS,Värmlands län
<d6>REBRO,Örebro län
V<c4>STMANLANDS,Västmanlands län
KOPPARBERGS,Kopparbergs län
G<c4>VLEBORGS,Gävleborgs län
V<c4>STERNORRLANDS,Västernorrlands län
J<c4>MTLANDS,Jämtlands län
V<c4>STERBOTTENS,Västerbottens län
NORRBOTTENS,Norrbottens län
