"","year","GDP","value"
"1","1750","Stockholms län",146694
"2","1760","Stockholms län",164709
"3","1769","Stockholms län",168177
"4","1772","Stockholms län",177719
"5","1795","Stockholms län",161117
"6","1800","Stockholms län",172133
"7","1810","Stockholms län",163347
"8","1820","Stockholms län",172505
"9","1830","Stockholms län",183913
"10","1840","Stockholms län",193436
"11","1850","Stockholms län",206483
"12","1750","Uppsala län",63719
"13","1760","Uppsala län",66948
"14","1769","Uppsala län",70880
"15","1772","Uppsala län",73012
"16","1795","Uppsala län",75215
"17","1800","Uppsala län",81290
"18","1810","Uppsala län",81166
"19","1820","Uppsala län",79860
"20","1830","Uppsala län",81389
"21","1840","Uppsala län",84853
"22","1850","Uppsala län",88794
"23","1750","Södermanlands län",79597
"24","1760","Södermanlands län",82733
"25","1769","Södermanlands län",86223
"26","1772","Södermanlands län",89943
"27","1795","Södermanlands län",90573
"28","1800","Södermanlands län",96736
"29","1810","Södermanlands län",99384
"30","1820","Södermanlands län",100842
"31","1830","Södermanlands län",107859
"32","1840","Södermanlands län",114326
"33","1850","Södermanlands län",119402
"34","1750","Östergötlands län",128556
"35","1760","Östergötlands län",135051
"36","1769","Östergötlands län",141480
"37","1772","Östergötlands län",146815
"38","1795","Östergötlands län",148691
"39","1800","Östergötlands län",158366
"40","1810","Östergötlands län",164513
"41","1820","Östergötlands län",171781
"42","1830","Östergötlands län",186799
"43","1840","Östergötlands län",205558
"44","1850","Östergötlands län",221166
"45","1750","Jönköpings län",106024
"46","1760","Jönköpings län",114129
"47","1769","Jönköpings län",117144
"48","1772","Jönköpings län",120048
"49","1795","Jönköpings län",108707
"50","1800","Jönköpings län",114704
"51","1810","Jönköpings län",116980
"52","1820","Jönköpings län",121015
"53","1830","Jönköpings län",136884
"54","1840","Jönköpings län",149700
"55","1850","Jönköpings län",162458
"56","1750","Kronobergs län",67098
"57","1760","Kronobergs län",71693
"58","1769","Kronobergs län",76733
"59","1772","Kronobergs län",77101
"60","1795","Kronobergs län",82269
"61","1800","Kronobergs län",87775
"62","1810","Kronobergs län",90634
"63","1820","Kronobergs län",95593
"64","1830","Kronobergs län",108271
"65","1840","Kronobergs län",120827
"66","1850","Kronobergs län",135814
"67","1750","Kalmar län",95788
"68","1760","Kalmar län",105984
"69","1769","Kalmar län",116134
"70","1772","Kalmar län",120945
"71","1795","Kalmar län",124360
"72","1800","Kalmar län",129801
"73","1810","Kalmar län",139432
"74","1820","Kalmar län",149237
"75","1830","Kalmar län",165027
"76","1840","Kalmar län",183604
"77","1850","Kalmar län",200981
"78","1750","Gotlands län",24494
"79","1760","Gotlands län",25739
"80","1769","Gotlands län",28039
"81","1772","Gotlands län",29074
"82","1795","Gotlands län",28788
"83","1800","Gotlands län",31352
"84","1810","Gotlands län",32845
"85","1820","Gotlands län",35406
"86","1830","Gotlands län",38786
"87","1840","Gotlands län",41360
"88","1850","Gotlands län",44308
"89","1750","Blekinge län",35596
"90","1760","Blekinge län",40074
